to see     saw     seen#видеть [си:],   видел [со:],   увидел [си:н]
to go     went     gone#идти, ходить, перемещаться [гоу],   шел [уэнт],   ушел [гон]
to have     had     had#иметь [хэв],   имел[хэд],   поимел [хэд]
to drive     drove     driven#водить (авто), ехать (на авто) [драйв],   ездил [дроув],   водил [дривен]
to know     knew     known#знать [ноу],   знал [нью:],   узнал [ноун]
to speak     spoke     spoken#говорить [спи:к],   говорил [споук],   сказал [споукэн]
to be     was/were     been#быть [би:],   был/были [уоз/уё:р],   был/были [би:н]
to think     thought     thought#думать [Ссин:к],   думал [Ссо:т],   подумал [Ссо:т]
to do     did     done#делать [ду:],   делал [дид],   сделал [дан]
to write     wrote     written #писать [райт],   писал [роут],   написал [ритэн]
to take     took     taken#брать, взять [тэйк],    брал [тук],   взял [тэйкэн]
to give     gave     given#давать [гив],   давал [гейв],   дал [гивэн]
to read     read     read#читать [ри:д],   читал [рэд],   прочитал [рэд]
to come     came     come#приходить, прибывать [кам],   приходил [кэйм],  пришел [кам]
to understand     understood     understood#понимать [андэрстэнд],   понимал [андэрсту:д],   понял [андэрсту:д]
to fly     flew     flown#летать [флай],   летал [флу:],   летел [флоун]
to bring     brought     brought#приносить [брин:],   приносил [бро:т],   принес [бро:т]
to eat     ate     eaten#есть (кушать) [и:т],   кушал [эйт],   съел [и:тэн]
to keep     kept     kept#держать [ки:п],   держал [кэпт],   держал [кэпт]
to pay     paid     paid#платить [пэй],   платил [пэйд],   заплатил [пэйд]
to hear     heard     heard#слышать [хиэр],   слышал [хё:рд],   услышал [хё:рд]
to teach     taught     taught#учить [ти:чь],   учил [то:т],   научил [то:т]
to sit     sat     sat#сидеть [сит],   сидел [сэт],   посидел [сэт]
to show     showed     shown#показывать, демонстрировать [шоу],   показывал [шоуд],   показал [шоун]
to buy     bought     bought#покупать [бай],   покупал [бо:т],   купил [бо:т]
to sing     sang     sung#петь [син:],   пел [сэн:],   спел [сан:]
to drink     drank     drunk#пить [дрин:к],   пил [дрэн:к],   выпил [дран:к]
to forget     forgot     forgotten#забывать, забыть [форгэт],   забывал [форгот],   забыл [форготэн]
to get up     got up     got up#вставать (просыпаться) [гет ап], вставал [гот ап],   встал(проснулся)  [гот ап]
to put on     put on     put on#надевать на себя [пут он], надевал [пут он], надел [пут он]
to say     said     said#сообщать, сказать, говорить [сэй],   сообщал [сэд],   сообщил [сэд]
to tell     told     told#рассказывать, говорить [тэл],   говорил [толд],   рассказал [толд]
to send     sent     sent#высылать, отправлять [сэнд],   отправлял [сэнт],   отправил [сэнт]
to leave     left     left#уезжать, отходить, выходить, покидать [ли:в],   уезжал [лэфт],   уехал [лэфт]
to feel     felt     felt#чувствовать [фи:л],   чувствовал [фэлт],   почувствовал [фэлт]
to begin     began     begun#начинать [бигин],   начинал [бигэн],   начал [биган]
to build     built     built#строить [билд],   строил [билт],   построил [билт]
to catch     caught     caught#ловить [кэчь],   ловил [ко:т],   поймал [ко:т]
to fall     fell     fallen#падать [фо:л],   падал [фэл],   упал [фо:лэн]
to sell     sold     sold#продавать [сэл],   продавал [солд],   продал [солд]
to find     found     found#находить [файнд],   находил [фаунд],   нашел [фаунд]
to hurt     hurt     hurt#болеть, приничить боль [хё:рт],   болело [хё:рт],   заболело [хё:рт]
to sleep     slept     slept#спать [сли:п],   спал [слэпт], уснул [слэпт]
to become     became     become#становиться [бикам],   становился [бикейм], стал [бикам]
to lose     lost     lost#потерять, упустить [лу:з],   терял, упускал [лост],   потерял, упустил [лост]
to grow     grew     grown#расти, становиться [гроу],   рос, становился [гру:],   вырос, стал [гроун]
to meet     met     met#встречать [ми:т],   встречал [мэт],   встретил [мэт]
to rise     rose     risen#восходить, вставать [райз],   всходил, вставал [роуз],   взошло, встало [ризэн]
to shut     shut     shut#закрывать, захлопывать [шат],   закрывал, захлопывал [шат],   закрыл, захлопнул [шат]
to spend     spent     spent#тратить, расходовать [спэнд],   тратил, расходовал [спэнт],   потратил, израсходовал [спэнт]
to wear     wore     worn#иметь на себе, быть одетым, носить [уэар],   носил [уо:р], одел [yo:рн]
to blow     blew     blown#дуть [блоу],   дул [блу:],   дул [блоун]
to freeze     froze     frozen#заморозить, замерзать [фри:з],   замерзал, мерз [фроуз],   заморозил, замерз [фроузэн]
to burn     burnt     burnt#гореть [бё:рн],   горел [бё:рнт],   сгорел [бё:рнт]
to get     got     got#становиться, делаться [гэт],   становился [гот],   сделался [гот]
to wake up     woke     woken#будить, проснуться [уэйк ап],   будил, просыпался [уоук],   разбудил, проснулся [уоукэн]
to snore     snored     snored#храпеть [сно:р],   храпел [сно:рд],   храпит уже…  [сно:рд]
to dream     dreamt     dreamt#сниться [дри:м],   снилось [дрэмт],   приснилось [дрэмт]
to run over     ran     run#переехать (кого то)  [ран оувэр],   переехал давно [рэн],   переехал недавно [ран]
to hit     hit     hit#ударять, попадать  [хит],   ударял, попадал [хит],   ударил, попал [хит]
to strike     struck     struck#поражать, производить впечатление [страйк],   поражал [страк],   поразил [страк]
to choose     chose     chosen#выбирать [чу:з],   выбирал [чоуз],   выбрал [чоузен]
to hide     hid     hidden#прятать(ся), скрывать(ся) [хайд],   прятал [хид],   спратал [хидэн]
to overtake     overtook     overtaken#догонять, обгонять, опережать [оувэртэйк],   опережал [оувэртук],   обогнал [оувэртэйкэн]
to withdraw     withdrew     withdrawn#изымать (из обращения) [уиЗЗдро:],   изымал [уиЗЗдру:],   изъял [уиЗЗдро:н]
to lend     lent     lent#давать взаймы (кому-то) [лэнд],   давал [лэнт],   дал [лэнт]
to go on     went on     gone on#идти дальше, продолжать [гоу он],   продолжал [уэнт он],   продолжил [гон он]
to give up     gave up     given up#бросить, прекратить (делать что-либо) [гив ап],   прекращал [гейв ап],   прекратил [гивэн ап]
to lie     lay     lain#лежать [лай],   лежал [лэй],   лежит [лэйн]
to steal     stole     stolen#красть [сти:л],   крал [стоул],   украл [стоулэн]
to cost     cost     cost#стоить [кост],   стоил [кост],   стоит [кост]
to mean     meant     meant#значить, иметь ввиду [ми:н],   значил [мэнт],   значит [мэнт]
to swim     swam     swum#плавать [суим],   плавал [суэм],   приплыл [суам]
to throw     threw     thrown#бросать [ССроу],   бросал [ССру:],   бросил [ССроун]
